abrand,Model,Condition,Year,Transmission,Engine_Capacity,Colors,Body_type,Price,0
Audi,A3,Used,2012,Automatic,1400cc,Blue,Hatchback,245000,1
Mercedes-Benz,S500,Used,2007,Automatic,3500cc,Black,Sedan,599000,2
Volkswagen,Golf7,Used,2014,Automatic,1400cc-Turbo,Gray,Hatchback,259000,3
Toyota,Corolla,Used,2019,Automatic,1600cc,White,Sedan,310000,4
Audi,A5,Used,2018,Automatic,1500ccTurbo,White,Coupe,740000,5
Jeep,Cherokee,Used,2012,Automatic,4000cc,Black,4X4,345000,6
Mercedes-Benz,GLK250,Used,2014,Automatic,2000cc,Gray,SUV,600000,7
Hyundai,Tucson,Used,2017,Automatic,1600cc,Red,SUV,355000,8
kia,Sportage,Used,2015,Automatic,1600cc,Black,SUV,350000,9
BMW,X3,Used,2019,Automatic,3500cc,White,SUV,1230000,0
Kia,Cerato,Used,2016,Automatic,1600cc,Silver,Sedan,220000,1
BMW,316,Used,2013,Automatic,1600cc,Black,Sedan,345000,2
Hyundai,Elantra,Used,2014,Automatic,1600cc,Silver,Sedan,205000,3
Nissan,Qashqai,Used,2017,Automatic,1600cc,White,SUV ,305000,4
Volkswagen,Jetta,Used,2008,Automatic,1400cc,Dark-Gray,Sedan,177000,5
BMW,318,Used,2009,Manual,2000cc,Light-Gray,Sedan,255000,6
Peugeot,5008,Used,2020,Automatic,1600cc,Dark-Green,SUV,625000,7
Kia,Coupe,Used,2011,Manual,1600cc,Red,Coupe,220000,8
Skoda,Fantasia,Used,2010,Automatic,1600cc,Black,Sedan,225000,9
Toyota,Supra,New,2021,Automatic,3000cc,Blue-Black-Yellow-Red-Gray-white,Coupe,1380000,0
Mercedes-Benz,S450,New,2020,Automatic,4000cc,Black-Gray-white,Sedan,3000000,1
Hyundai,ElantraCN7,New,2021,Automatic,1600cc,Blue-Black-Red-Gray-white,Sedan,450000,2
Mercedes-Benz,GLA200,New,2021,Automatic,1400ccTurbo,Blue-Black-Red-Gray-white,Hatchback,1100000,3
Range-Rover,Evoque,New,2020,Automatic,2000ccTurbo,Black-Gray-white,SUV,1550000,4
Jeep,Renegade,New,2021,Automatic,1400cc,Blue-Black-Yellow-Red-Gray-white,SUV,530000,5
Jeep,GrandCherokee,New,2021,Automatic,5700cc,Black-Gray-white,4X4,1100000,6
DS,DS,New,2021,Automatic,1600ccTurbo,Blue-Black-Red-Gray-white,SUV,850000,7
BMW,118,New,2021,Automatic,1500ccTurbo,Blue-Black-Red-Gray-white,Hatchback,599000,8
BMW,218,New,2021,Automatic,1500ccTurbo,Blue-Black-Red-Gray-white,Hatchback,620000,9
BMW,218I,New,2021,Automatic,1500ccTurbo,Blue-Black-Red-Gray-white,Sedan,648000,0
BMW,X1,New,2021,Automatic,1500ccTurbo,Blue-Black-Red-Gray-white,SUV,730000,1
BMW,320,New,2021,Automatic,2000ccTurbo,Blue-Black-Red-Gray-white,Sedan,900000,2
Land-Rover,Defendor,New,2021,Automatic,3000ccTurbo,White-MattGray-MattGreen,4X4,2030000,3
Land-Rover,Discovery,New,2021,Automatic,2000cc,Black-Gray-white,4X4,1390000,4
Mercedes-Benz,C180,New,2021,Automatic,1500ccTurbo,Blue-Black-Red-Gray-white,Sedan,843000,5
Mercedes-Benz,CLA180,New,2021,Automatic,1300ccTurbo,Blue-Black-Red-Gray-white,Sedan,755000,6
Toyota,Fortuner,New,2021,Automatic,4000cc,Black-Gray-white,4X4,914900,7
Mitsubishi,Pajero,New,2021,Automatic,3800cc,Black-Gray-white,4X4,1650000,8
Kia,Sportage,New,2021,Automatic,1600cc,Blue-Black-Bronze-silver-Red-Gray-white,SUV,529000,9
Skoda,Octavia,New,2021,Automatic,1600cc,Blue-Black-Bronze-silver-Red-Gray-white,Sedan,400000,0
Skoda,Kodiaq,New,2021,Automatic,2000ccTurbo,Blue-Black-Bronze-silver-Red-Gray-white,SUV,860000,1
Audi,A6,New,2021,Automatic,2000ccTurbo,Blue-Black-Yellow-Red-Gray-white,Sedan,1450000,2
Audi,A5,New,2021,Automatic,2000ccTurbo,Blue-Black-Yellow-Red-Gray-white,Sedan,970000,3
Mini,Coober,New,2021,Automatic,1500cc ,Caffe-Blue-Black-Yellow-Red-Gray-white,Hatchback,485000,4
Mini,Countryman,New,2021,Automatic,1500cc ,Caffe-Blue-Black-Yellow-Red-Gray-white,Hatchback,600000,5
Seat,Leon-Cupra,New,2021,Automatic,2000ccTurbo,White-Dark-Blue,Hatchback,589000,6
Porche,Boxster,New,2020,Manual,4000cc,White-Red-Gray-Black,Coupe,2135000,7
Porche,Panamera,New,2020,Automatic,4000ccTurbo,White-Black,SUV,5555000,8
Maserati,Ghibli,New,2019,Automatic,3000cc,Blue-Black-Yellow-Red-Gray-white,Sedan,2600000,0
